MOV-6c6872d2-5dc7-4b30-a344-c58c34e88887;APL-IPHONE15;iPhone 15;ACQUISTO_FORNITORE;10;739.00;2026-07-10T16:13:17.750121600;Fornitore APPLE
MOV-71c6e00a-4f89-4803-a225-80376e69f21e;EUR-IPHONE15;iPhone 15;VENDITA;12;799.00;2026-07-10T16:21:11.505599200;Gestisci prodotti
MOV-e6de0cf8-2e6e-48d8-aed3-6c5c10e8cc89;APL-IPHONE15;iPhone 15;ACQUISTO_FORNITORE;15;739.00;2026-07-10T16:21:30.962004600;Fornitore APPLE
MOV-802a2902-d2f4-446d-a26d-8bb782cfe601;EUR-MACBOOKAIR;MacBook Air M3;VENDITA;4;1299.00;2026-07-10T16:29:17.032895100;Gestisci prodotti
MOV-2735ed5f-bfc9-462b-ba4a-3121ed81e8c5;EUR-GALAXYS24;Galaxy S24;VENDITA;1;749.00;2026-07-10T16:29:25.954264900;Gestisci prodotti
MOV-ac184e01-4121-4dc9-a509-82aba6ddf3eb;APL-MACBOOKAIR;MacBook Air M3;ACQUISTO_FORNITORE;10;1199.00;2026-07-10T16:29:54.806692;Fornitore APPLE
MOV-58d6df91-2913-490a-a594-bb1ef0bafa7b;SAM-GALAXYS24;Galaxy S24;ACQUISTO_FORNITORE;5;699.00;2026-07-10T16:30:16.249418700;Fornitore SAMSUNG
MOV-bc780cc5-82b4-4460-b1db-8492227aa230;EUR-IPHONE15;iPhone 15;VENDITA;5;799.00;2026-07-10T16:31:22.754549;Gestisci prodotti
MOV-89074470-5ca8-4ac7-b22e-faa6ad85e398;APL-IPHONE15;iPhone 15;ACQUISTO_FORNITORE;5;739.00;2026-07-10T16:57:36.219601100;Fornitore APPLE
MOV-39cb73f6-85c0-4c8c-a44f-775bc52f4337;APL-MACBOOKAIR;MacBook Air M3;ACQUISTO_FORNITORE;2;1199.00;2026-07-10T16:57:36.222593100;Fornitore APPLE
MOV-705463b4-52dc-4fb2-b8e8-0d2e4ae6841b;APL-AIRPODS;AirPods Pro;ACQUISTO_FORNITORE;3;219.00;2026-07-10T16:57:36.224587200;Fornitore APPLE
MOV-fecdb48e-3778-465e-b835-1ad2a7697ea5;APL-IPHONE15;iPhone 15;ACQUISTO_FORNITORE;1;739.00;2026-07-10T16:57:36.226581800;Fornitore APPLE
MOV-29a83bee-f644-43a1-8ceb-5ce627416b02;HUA-FREEBUDS;Huawei FreeBuds Pro;ACQUISTO_FORNITORE;5;139.00;2026-07-10T21:18:52.253275;Fornitore HUAWEI
