euronics_admin,admin123,ADMIN,GROUP_EURONICS
euronics_commesso01,commesso01,USER,GROUP_EURONICS
euronics_commesso02,commesso02,USER,GROUP_EURONICS
euronics_commesso03,commesso03,USER,GROUP_EURONICS
euronics_commesso04,commesso04,USER,GROUP_EURONICS
euronics_commesso05,commesso05,USER,GROUP_EURONICS
euronics_commesso06,commesso06,USER,GROUP_EURONICS
euronics_commesso07,commesso07,USER,GROUP_EURONICS
euronics_commesso08,commesso08,USER,GROUP_EURONICS
euronics_commesso09,commesso09,USER,GROUP_EURONICS
euronics_commesso10,commesso10,USER,GROUP_EURONICS
panificio_capo,pane123,ADMIN,GROUP_PANIFICIO
panificio_figlia1,farina123,USER,GROUP_PANIFICIO
panificio_figlia2,lievito123,USER,GROUP_PANIFICIO
